year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_recovered,total_recovered,new_death,total_death,case_foreign,case_prison,case_walkin,case_new_prev,case_new_diff,death_new_prev,death_new_diff
2022,1,เชียงใหม่,1422,1494,1409,1478,0,0,7,7,,,,,,,
2022,1,เพชรบุรี,146,154,142,150,0,0,1,1,,,,,,,
2022,1,เพชรบูรณ์,198,218,197,217,0,0,0,0,,,,,,,
2022,1,เลย,69,89,69,89,0,0,2,2,,,,,,,
2022,1,แพร่,56,71,55,70,0,0,0,0,,,,,,,
2022,1,แม่ฮ่องสอน,106,123,106,123,0,0,2,2,,,,,,,
2022,1,ไม่ระบุ,0,0,0,0,0,0,0,0,,,,,,,
2022,2,กระบี่,435,696,363,576,0,0,0,3,,,,,,,
2022,2,กรุงเทพมหานคร,5249,9032,4975,8489,0,0,9,20,,,,,,,
2022,2,กาญจนบุรี,396,641,396,640,0,0,1,3,,,,,,,
2022,2,กาฬสินธุ์,365,817,365,815,0,0,0,0,,,,,,,
2022,2,กำแพงเพชร,221,348,221,347,0,0,2,2,,,,,,,
2022,2,ขอนแก่น,1868,3345,1862,3335,0,0,0,4,,,,,,,
2022,2,จันทบุรี,385,596,384,594,0,0,2,2,,,,,,,
2022,2,ฉะเชิงเทรา,545,978,544,973,0,0,1,3,,,,,,,
2022,2,ชลบุรี,5567,10934,5330,10398,0,0,9,10,,,,,,,
2022,2,ชัยนาท,91,200,91,200,0,0,0,0,,,,,,,
2022,2,ชัยภูมิ,245,508,245,507,0,0,2,3,,,,,,,
2022,2,ชุมพร,313,572,313,572,0,0,0,0,,,,,,,
2022,2,ตรัง,223,525,221,518,0,0,2,6,,,,,,,
2022,2,ตราด,302,526,283,481,0,0,1,1,,,,,,,
2022,2,ตาก,229,504,229,501,0,0,0,4,,,,,,,
2022,2,ทั้งประเทศ,55369,92973,53168,89104,25862,48630,103,218,2201,371,52134,55839,-470,99,4
2022,2,นครนายก,317,424,317,424,0,0,0,0,,,,,,,
2022,2,นครปฐม,582,809,582,809,0,0,2,2,,,,,,,
2022,2,นครพนม,350,478,350,478,0,0,0,0,,,,,,,
2022,2,นครราชสีมา,942,1311,939,1308,0,0,7,14,,,,,,,
2022,2,นครศรีธรรมราช,1315,2446,1315,2445,0,0,2,3,,,,,,,
2022,2,นครสวรรค์,443,761,439,757,0,0,1,6,,,,,,,
2022,2,นนทบุรี,2542,3508,2539,3504,0,0,0,0,,,,,,,
2022,2,นราธิวาส,49,113,47,111,0,0,0,0,,,,,,,
2022,2,น่าน,509,709,509,709,0,0,0,0,,,,,,,
2022,2,บึงกาฬ,125,275,125,273,0,0,0,1,,,,,,,
2022,2,บุรีรัมย์,1039,1669,1039,1664,0,0,1,3,,,,,,,
2022,2,ปทุมธานี,1251,1588,1250,1584,0,0,0,0,,,,,,,
2022,2,ประจวบคีรีขันธ์,550,908,514,841,0,0,0,0,,,,,,,
2022,2,ปราจีนบุรี,311,619,311,619,0,0,2,2,,,,,,,
2022,2,ปัตตานี,120,302,119,300,0,0,2,7,,,,,,,
2022,2,พระนครศรีอยุธยา,448,693,448,693,0,0,2,2,,,,,,,
2022,2,พะเยา,334,514,334,514,0,0,0,0,,,,,,,
2022,2,พังงา,505,802,447,688,0,0,0,1,,,,,,,
2022,2,พัทลุง,459,905,459,905,0,0,1,2,,,,,,,
2022,2,พิจิตร,133,197,133,197,0,0,0,0,,,,,,,
2022,2,พิษณุโลก,589,885,589,885,0,0,3,6,,,,,,,
2022,2,ภูเก็ต,4333,6261,3127,4493,0,0,2,2,,,,,,,
2022,2,มหาสารคาม,467,997,463,991,0,0,0,0,,,,,,,
2022,2,มุกดาหาร,212,385,212,385,0,0,0,0,,,,,,,
2022,2,ยะลา,75,221,75,221,0,0,4,7,,,,,,,
2022,2,ยโสธร,278,458,278,457,0,0,0,0,,,,,,,
2022,2,ร้อยเอ็ด,452,831,451,829,0,0,4,4,,,,,,,
2022,2,ระนอง,128,176,124,170,0,0,0,0,,,,,,,
2022,2,ระยอง,1085,1838,1076,1819,0,0,1,2,,,,,,,
2022,2,ราชบุรี,273,505,273,505,0,0,0,6,,,,,,,
2022,2,ลพบุรี,501,684,500,683,0,0,1,4,,,,,,,
2022,2,ลำปาง,337,632,337,631,0,0,1,4,,,,,,,
2022,2,ลำพูน,81,146,81,145,0,0,0,0,,,,,,,
2022,2,ศรีสะเกษ,916,1232,914,1229,0,0,2,2,,,,,,,
2022,2,สกลนคร,334,542,334,540,0,0,0,0,,,,,,,
2022,2,สงขลา,629,1064,625,1060,0,0,4,8,,,,,,,
2022,2,สตูล,125,276,122,265,0,0,5,11,,,,,,,
2022,2,สมุทรปราการ,4598,6951,4518,6766,0,0,1,2,,,,,,,
2022,2,สมุทรสงคราม,77,140,77,140,0,0,0,0,,,,,,,
2022,2,สมุทรสาคร,866,1210,865,1209,0,0,0,1,,,,,,,
2022,2,สระบุรี,509,759,509,759,0,0,2,4,,,,,,,
2022,2,สระแก้ว,271,474,269,469,0,0,0,0,,,,,,,
2022,2,สิงห์บุรี,95,124,95,123,0,0,0,1,,,,,,,
2022,2,สุพรรณบุรี,302,417,302,413,0,0,1,2,,,,,,,
2022,2,สุราษฎร์ธานี,1033,1608,921,1355,0,0,1,4,,,,,,,
2022,2,สุรินทร์,686,842,680,827,0,0,0,0,,,,,,,
2022,2,สุโขทัย,97,168,96,166,0,0,0,1,,,,,,,
2022,2,หนองคาย,416,641,416,640,0,0,0,0,,,,,,,
2022,2,หนองบัวลำภู,205,304,205,304,0,0,0,0,,,,,,,
2022,2,อ่างทอง,96,154,96,154,0,0,1,1,,,,,,,
2022,2,อำนาจเจริญ,126,253,126,252,0,0,0,0,,,,,,,
